unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,45,45,47
O002__001,O002,P3,24,24,26
O003__001,O003,P2,30,31,33
O003__002,O003,P2,31,31,33
O004__001,O004,P4,17,42,44
O004__002,O004,P4,18,42,44
O004__003,O004,P4,19,42,44
O005__001,O005,P3,25,31,33
O005__002,O005,P3,26,31,33
O005__003,O005,P3,28,31,33
O006__001,O006,P3,27,27,29
O007__001,O007,P3,40,43,45
O007__002,O007,P3,41,43,45
O007__003,O007,P3,42,43,45
O007__004,O007,P3,43,43,45
O008__001,O008,P1,21,23,25
O008__002,O008,P1,22,23,25
O009__001,O009,P2,32,41,43
O009__002,O009,P2,33,41,43
O009__003,O009,P2,34,41,43
O009__004,O009,P2,35,41,43
O010__001,O010,P5,37,42,44
O010__002,O010,P5,38,42,44
