unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,21,39,41
O001__002,O001,P2,22,39,41
O001__003,O001,P2,26,39,41
O001__004,O001,P2,27,39,41
O002__001,O002,P4,14,23,25
O002__002,O002,P4,15,23,25
O003__001,O003,P3,45,48,50
O003__002,O003,P3,46,48,50
O003__003,O003,P3,47,48,50
O003__004,O003,P3,48,48,50
O004__001,O004,P1,17,30,32
O004__002,O004,P1,18,30,32
O005__001,O005,P1,19,30,32
O006__001,O006,P3,31,37,39
O006__002,O006,P3,32,37,39
O006__003,O006,P3,33,37,39
O006__004,O006,P3,34,37,39
O007__001,O007,P2,28,33,35
O007__002,O007,P2,29,33,35
O008__001,O008,P2,23,25,27
O008__002,O008,P2,24,25,27
O008__003,O008,P2,25,25,27
O009__001,O009,P5,40,41,43
O009__002,O009,P5,41,41,43
O010__001,O010,P1,36,39,41
O010__002,O010,P1,37,39,41
O010__003,O010,P1,38,39,41
