unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,15,24,26
O001__002,O001,P2,16,24,26
O001__003,O001,P2,17,24,26
O002__001,O002,P3,24,34,36
O002__002,O002,P3,25,34,36
O003__001,O003,P2,41,45,47
O003__002,O003,P2,42,45,47
O003__003,O003,P2,45,45,47
O004__001,O004,P1,19,44,46
O005__001,O005,P1,20,26,28
O005__002,O005,P1,21,26,28
O005__003,O005,P1,22,26,28
O006__001,O006,P2,43,44,46
O006__002,O006,P2,44,44,46
O007__001,O007,P4,34,41,43
O007__002,O007,P4,35,41,43
O007__003,O007,P4,36,41,43
O007__004,O007,P4,37,41,43
O008__001,O008,P3,26,36,38
O008__002,O008,P3,27,36,38
O008__003,O008,P3,28,36,38
O008__004,O008,P3,29,36,38
O009__001,O009,P3,30,35,37
O009__002,O009,P3,31,35,37
O009__003,O009,P3,32,35,37
O010__001,O010,P5,39,44,46
