unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,37,37,39
O002__001,O002,P3,17,29,31
O002__002,O002,P3,18,29,31
O002__003,O002,P3,19,29,31
O003__001,O003,P5,30,31,33
O003__002,O003,P5,31,31,33
O004__001,O004,P5,32,35,37
O004__002,O004,P5,33,35,37
O004__003,O004,P5,34,35,37
O004__004,O004,P5,35,35,37
O005__001,O005,P4,10,31,33
O006__001,O006,P2,25,34,36
O006__002,O006,P2,26,34,36
O006__003,O006,P2,27,34,36
O006__004,O006,P2,28,34,36
O007__001,O007,P4,11,25,27
O007__002,O007,P4,12,25,27
O007__003,O007,P4,13,25,27
O007__004,O007,P4,14,25,27
O008__001,O008,P5,39,39,41
O009__001,O009,P4,15,27,29
O010__001,O010,P3,20,25,27
O010__002,O010,P3,21,25,27
O010__003,O010,P3,22,25,27
O010__004,O010,P3,23,25,27
