unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,30,46,48
O001__002,O001,P3,32,46,48
O002__001,O002,P4,37,41,43
O002__002,O002,P4,38,41,43
O003__001,O003,P3,14,28,30
O003__002,O003,P3,15,28,30
O003__003,O003,P3,16,28,30
O004__001,O004,P5,34,40,42
O004__002,O004,P5,35,40,42
O005__001,O005,P4,39,43,45
O005__002,O005,P4,40,43,45
O005__003,O005,P4,41,43,45
O005__004,O005,P4,42,43,45
O006__001,O006,P1,44,46,48
O006__002,O006,P1,45,46,48
O006__003,O006,P1,46,46,48
O007__001,O007,P3,31,31,33
O008__001,O008,P4,25,29,31
O008__002,O008,P4,26,29,31
O008__003,O008,P4,27,29,31
O008__004,O008,P4,28,29,31
O009__001,O009,P2,18,23,25
O009__002,O009,P2,19,23,25
O009__003,O009,P2,20,23,25
O009__004,O009,P2,21,23,25
O010__001,O010,P2,22,23,25
O010__002,O010,P2,23,23,25
