unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P4,10,24,26
O001__002,O001,P4,11,24,26
O001__003,O001,P4,12,24,26
O002__001,O002,P4,26,31,33
O002__002,O002,P4,27,31,33
O002__003,O002,P4,28,31,33
O003__001,O003,P4,29,38,40
O003__002,O003,P4,30,38,40
O004__001,O004,P5,21,39,41
O004__002,O004,P5,22,39,41
O005__001,O005,P4,31,35,37
O005__002,O005,P4,32,35,37
O005__003,O005,P4,33,35,37
O005__004,O005,P4,34,35,37
O006__001,O006,P1,14,28,30
O006__002,O006,P1,15,28,30
O006__003,O006,P1,16,28,30
O006__004,O006,P1,17,28,30
O007__001,O007,P3,19,29,31
O008__001,O008,P2,36,38,40
O008__002,O008,P2,37,38,40
O008__003,O008,P2,38,38,40
O009__001,O009,P5,23,24,26
O009__002,O009,P5,24,24,26
O010__001,O010,P2,39,39,41
