unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,36,39,41
O001__002,O001,P2,37,39,41
O001__003,O001,P2,38,39,41
O001__004,O001,P2,39,39,41
O002__001,O002,P1,24,38,40
O002__002,O002,P1,25,38,40
O002__003,O002,P1,26,38,40
O002__004,O002,P1,27,38,40
O003__001,O003,P1,31,37,39
O003__002,O003,P1,32,37,39
O003__003,O003,P1,33,37,39
O003__004,O003,P1,34,37,39
O004__001,O004,P5,11,23,25
O004__002,O004,P5,12,23,25
O004__003,O004,P5,13,23,25
O005__001,O005,P2,20,23,25
O006__001,O006,P5,14,32,34
O007__001,O007,P3,16,26,28
O007__002,O007,P3,17,26,28
O007__003,O007,P3,18,26,28
O008__001,O008,P5,41,44,46
O008__002,O008,P5,42,44,46
O008__003,O008,P5,43,44,46
O008__004,O008,P5,44,44,46
O009__001,O009,P2,21,25,27
O009__002,O009,P2,22,25,27
O010__001,O010,P1,28,30,32
O010__002,O010,P1,29,30,32
O010__003,O010,P1,30,30,32
