unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P4,31,44,46
O001__002,O001,P4,32,44,46
O001__003,O001,P4,33,44,46
O002__001,O002,P1,15,31,33
O002__002,O002,P1,16,31,33
O002__003,O002,P1,17,31,33
O002__004,O002,P1,18,31,33
O003__001,O003,P1,19,23,25
O003__002,O003,P1,20,23,25
O003__003,O003,P1,21,23,25
O004__001,O004,P5,29,46,48
O005__001,O005,P4,34,37,39
O005__002,O005,P4,35,37,39
O006__001,O006,P2,37,38,40
O006__002,O006,P2,38,38,40
O007__001,O007,P2,40,44,46
O007__002,O007,P2,41,44,46
O007__003,O007,P2,42,44,46
O008__001,O008,P3,44,46,48
O008__002,O008,P3,45,46,48
O008__003,O008,P3,46,46,48
O009__001,O009,P3,23,25,27
O009__002,O009,P3,24,25,27
O010__001,O010,P4,26,28,30
O010__002,O010,P4,27,28,30
