unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P5,16,25,27
O001__002,O001,P5,17,25,27
O001__003,O001,P5,18,25,27
O002__001,O002,P5,38,40,42
O002__002,O002,P5,39,40,42
O002__003,O002,P5,40,40,42
O003__001,O003,P2,34,34,36
O004__001,O004,P1,14,26,28
O005__001,O005,P5,19,28,30
O005__002,O005,P5,20,28,30
O006__001,O006,P2,22,32,34
O007__001,O007,P3,24,33,35
O007__002,O007,P3,25,33,35
O007__003,O007,P3,26,33,35
O007__004,O007,P3,27,33,35
O008__001,O008,P2,44,44,46
O009__001,O009,P1,29,32,34
O009__002,O009,P1,30,32,34
O009__003,O009,P1,31,32,34
O009__004,O009,P1,32,32,34
O010__001,O010,P4,47,48,50
O010__002,O010,P4,48,48,50
