unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P1,45,50,50
O002__001,O002,P2,34,41,41
O003__001,O003,P4,25,39,39
O003__002,O003,P4,39,39,39
O003__003,O003,P4,30,38,39
O004__001,O004,P4,48,49,49
O004__002,O004,P4,49,49,49
O004__003,O004,P4,47,48,49
O004__004,O004,P4,41,49,49
O005__001,O005,P3,32,34,34
O006__001,O006,P5,27,28,28
O007__001,O007,P4,43,49,50
O008__001,O008,P4,40,43,43
O008__002,O008,P4,42,43,43
O008__003,O008,P4,38,43,43
O008__004,O008,P4,37,43,43
O009__001,O009,P2,35,41,42
O010__001,O010,P4,29,30,30
