unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P5,40,40,40
O002__001,O002,P4,27,36,37
O003__001,O003,P4,28,29,29
O003__002,O003,P4,21,29,29
O003__003,O003,P4,26,29,29
O004__001,O004,P5,38,39,39
O004__002,O004,P5,39,39,39
O005__001,O005,P4,25,26,26
O006__001,O006,P1,18,31,33
O006__002,O006,P1,33,33,33
O007__001,O007,P3,35,38,39
O008__001,O008,P1,23,26,26
O008__002,O008,P1,19,26,26
O008__003,O008,P1,17,26,26
O009__001,O009,P3,42,44,44
O010__001,O010,P5,37,37,37
O010__002,O010,P5,30,37,37
O010__003,O010,P5,31,37,37
