unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,18,23,25
O001__002,O001,P3,19,23,25
O001__003,O001,P3,20,23,25
O002__001,O002,P1,24,41,43
O002__002,O002,P1,25,41,43
O002__003,O002,P1,26,41,43
O003__001,O003,P2,22,29,31
O004__001,O004,P4,42,44,46
O004__002,O004,P4,43,44,46
O004__003,O004,P4,44,44,46
O005__001,O005,P3,37,42,44
O005__002,O005,P3,38,42,44
O005__003,O005,P3,39,42,44
O005__004,O005,P3,40,42,44
O006__001,O006,P4,32,36,38
O007__001,O007,P4,33,36,38
O007__002,O007,P4,34,36,38
O007__003,O007,P4,35,36,38
O008__001,O008,P3,46,46,48
O009__001,O009,P1,27,28,30
O009__002,O009,P1,28,28,30
O010__001,O010,P5,30,32,34
