unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P5,15,29,30
O001__002,O001,P5,14,29,30
O002__001,O002,P5,43,46,46
O003__001,O003,P1,39,39,39
O004__001,O004,P3,23,26,26
O004__002,O004,P3,21,26,26
O004__003,O004,P3,22,26,26
O005__001,O005,P1,35,36,36
O005__002,O005,P1,36,36,36
O006__001,O006,P4,30,34,34
O006__002,O006,P4,29,34,34
O006__003,O006,P4,17,32,34
O007__001,O007,P2,33,35,35
O007__002,O007,P2,32,35,35
O008__001,O008,P1,38,38,38
O008__002,O008,P1,19,37,38
O008__003,O008,P1,37,37,38
O009__001,O009,P4,45,47,48
O009__002,O009,P4,41,48,48
O010__001,O010,P2,26,26,26
O010__002,O010,P2,12,24,26
O010__003,O010,P2,25,26,26
