unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P1,15,28,28
O001__002,O001,P1,28,28,28
O002__001,O002,P1,24,26,26
O002__002,O002,P1,16,26,26
O002__003,O002,P1,23,26,26
O003__001,O003,P4,41,43,45
O004__001,O004,P5,32,35,35
O004__002,O004,P5,33,35,35
O004__003,O004,P5,34,35,35
O005__001,O005,P4,30,46,46
O006__001,O006,P5,37,38,38
O006__002,O006,P5,36,37,38
O006__003,O006,P5,35,38,38
O007__001,O007,P4,26,27,27
O007__002,O007,P4,20,27,27
O007__003,O007,P4,21,27,27
O007__004,O007,P4,13,25,27
O008__001,O008,P3,39,39,39
O009__001,O009,P3,18,36,36
O010__001,O010,P5,11,36,36
