unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,35,39,40
O002__001,O002,P2,24,26,27
O003__001,O003,P2,26,26,26
O003__002,O003,P2,20,26,26
O003__003,O003,P2,22,25,26
O004__001,O004,P2,25,29,29
O004__002,O004,P2,27,29,29
O005__001,O005,P2,37,38,38
O005__002,O005,P2,32,38,38
O005__003,O005,P2,33,37,38
O006__001,O006,P2,43,43,43
O006__002,O006,P2,38,43,43
O007__001,O007,P2,31,37,39
O008__001,O008,P2,29,29,29
O008__002,O008,P2,21,27,29
O008__003,O008,P2,23,29,29
O008__004,O008,P2,28,29,29
O009__001,O009,P2,30,42,42
O009__002,O009,P2,39,40,42
O009__003,O009,P2,42,42,42
O010__001,O010,P2,40,41,41
O010__002,O010,P2,41,41,41
