unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,24,31,33
O001__002,O001,P3,25,31,33
O001__003,O001,P3,26,31,33
O001__004,O001,P3,27,31,33
O002__001,O002,P5,35,38,40
O002__002,O002,P5,36,38,40
O002__003,O002,P5,37,38,40
O003__001,O003,P2,43,45,47
O003__002,O003,P2,44,45,47
O003__003,O003,P2,45,45,47
O004__001,O004,P2,29,32,34
O005__001,O005,P1,20,25,27
O005__002,O005,P1,21,25,27
O006__001,O006,P4,31,40,42
O006__002,O006,P4,32,40,42
O006__003,O006,P4,33,40,42
O007__001,O007,P5,16,25,27
O007__002,O007,P5,17,25,27
O007__003,O007,P5,18,25,27
O008__001,O008,P1,22,25,27
O009__001,O009,P5,40,44,46
O009__002,O009,P5,41,44,46
O010__001,O010,P5,38,39,41
O010__002,O010,P5,39,39,41
