unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P1,41,42,42
O001__002,O001,P1,42,42,42
O001__003,O001,P1,40,42,42
O001__004,O001,P1,39,41,42
O002__001,O002,P3,31,40,40
O002__002,O002,P3,36,39,40
O002__003,O002,P3,37,40,40
O002__004,O002,P3,30,39,40
O003__001,O003,P4,45,45,47
O004__001,O004,P2,27,42,42
O005__001,O005,P4,44,46,47
O005__002,O005,P4,34,46,47
O006__001,O006,P4,33,35,35
O007__001,O007,P2,24,25,26
O007__002,O007,P2,26,26,26
O007__003,O007,P2,21,26,26
O007__004,O007,P2,23,26,26
O008__001,O008,P2,28,47,48
O009__001,O009,P3,47,49,49
O010__001,O010,P4,19,32,32
