unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P1,30,31,33
O002__001,O002,P1,31,33,35
O002__002,O002,P1,32,33,35
O003__001,O003,P5,12,34,36
O003__002,O003,P5,13,34,36
O004__001,O004,P2,19,37,39
O004__002,O004,P2,20,37,39
O005__001,O005,P1,33,36,38
O005__002,O005,P1,34,36,38
O005__003,O005,P1,35,36,38
O005__004,O005,P1,36,36,38
O006__001,O006,P4,15,25,27
O006__002,O006,P4,16,25,27
O006__003,O006,P4,17,25,27
O007__001,O007,P2,21,26,28
O007__002,O007,P2,22,26,28
O007__003,O007,P2,23,26,28
O008__001,O008,P2,46,48,50
O008__002,O008,P2,47,48,50
O008__003,O008,P2,48,48,50
O009__001,O009,P3,25,31,33
O009__002,O009,P3,26,31,33
O009__003,O009,P3,27,31,33
O009__004,O009,P3,28,31,33
O010__001,O010,P5,38,40,42
O010__002,O010,P5,39,40,42
O010__003,O010,P5,40,40,42
