unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P4,31,43,45
O002__001,O002,P1,19,27,29
O002__002,O002,P1,20,27,29
O003__001,O003,P2,33,40,42
O003__002,O003,P2,34,40,42
O004__001,O004,P4,29,29,31
O005__001,O005,P3,36,44,46
O005__002,O005,P3,37,44,46
O005__003,O005,P3,38,44,46
O006__001,O006,P5,40,43,45
O006__002,O006,P5,41,43,45
O006__003,O006,P5,42,43,45
O006__004,O006,P5,43,43,45
O007__001,O007,P1,48,48,50
O008__001,O008,P5,24,27,29
O008__002,O008,P5,25,27,29
O008__003,O008,P5,26,27,29
O008__004,O008,P5,27,27,29
O009__001,O009,P1,21,26,28
O009__002,O009,P1,22,26,28
O010__001,O010,P1,45,46,48
O010__002,O010,P1,46,46,48
