unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P1,32,39,41
O001__002,O001,P1,33,39,41
O001__003,O001,P1,34,39,41
O001__004,O001,P1,35,39,41
O002__001,O002,P5,12,38,40
O002__002,O002,P5,13,38,40
O002__003,O002,P5,14,38,40
O002__004,O002,P5,15,38,40
O003__001,O003,P5,16,27,29
O004__001,O004,P4,24,28,30
O004__002,O004,P4,25,28,30
O004__003,O004,P4,26,28,30
O005__001,O005,P5,17,25,27
O005__002,O005,P5,18,25,27
O006__001,O006,P2,28,33,35
O006__002,O006,P2,29,33,35
O006__003,O006,P2,30,33,35
O007__001,O007,P1,36,41,43
O007__002,O007,P1,37,41,43
O007__003,O007,P1,38,41,43
O007__004,O007,P1,39,41,43
O008__001,O008,P3,20,24,26
O008__002,O008,P3,21,24,26
O008__003,O008,P3,22,24,26
O009__001,O009,P1,44,45,47
O009__002,O009,P1,45,45,47
O010__001,O010,P2,41,43,45
O010__002,O010,P2,42,43,45
