unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,18,45,47
O001__002,O001,P3,19,45,47
O001__003,O001,P3,20,45,47
O002__001,O002,P3,21,43,45
O002__002,O002,P3,22,43,45
O003__001,O003,P3,23,28,30
O003__002,O003,P3,24,28,30
O003__003,O003,P3,25,28,30
O003__004,O003,P3,26,28,30
O004__001,O004,P1,10,34,36
O004__002,O004,P1,11,34,36
O004__003,O004,P1,12,34,36
O005__001,O005,P5,14,27,29
O005__002,O005,P5,15,27,29
O005__003,O005,P5,16,27,29
O006__001,O006,P4,32,45,47
O006__002,O006,P4,33,45,47
O007__001,O007,P4,34,45,47
O007__002,O007,P4,35,45,47
O007__003,O007,P4,36,45,47
O007__004,O007,P4,37,45,47
O008__001,O008,P3,27,32,34
O008__002,O008,P3,28,32,34
O008__003,O008,P3,29,32,34
O008__004,O008,P3,30,32,34
O009__001,O009,P2,43,45,47
O009__002,O009,P2,44,45,47
O009__003,O009,P2,45,45,47
O010__001,O010,P4,38,41,43
O010__002,O010,P4,39,41,43
O010__003,O010,P4,40,41,43
O010__004,O010,P4,41,41,43
