unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P5,45,45,45
O001__002,O001,P5,43,45,45
O001__003,O001,P5,44,45,45
O002__001,O002,P2,5,38,38
O003__001,O003,P4,29,43,43
O003__002,O003,P4,37,43,43
O003__003,O003,P4,38,43,43
O003__004,O003,P4,40,43,43
O004__001,O004,P1,11,41,41
O005__001,O005,P2,47,49,49
O005__002,O005,P2,48,49,49
O005__003,O005,P2,49,49,49
O006__001,O006,P4,28,31,31
O006__002,O006,P4,27,31,31
O006__003,O006,P4,26,31,31
O007__001,O007,P3,16,29,29
O007__002,O007,P3,15,29,29
O007__003,O007,P3,13,29,29
O008__001,O008,P3,33,34,34
O008__002,O008,P3,32,34,34
O008__003,O008,P3,34,34,34
O008__004,O008,P3,14,34,34
O009__001,O009,P4,30,43,43
O009__002,O009,P4,36,43,43
O009__003,O009,P4,41,43,43
O009__004,O009,P4,39,43,43
O010__001,O010,P1,9,28,28
O010__002,O010,P1,8,28,28
O010__003,O010,P1,10,27,28
O010__004,O010,P1,7,26,28
