unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,15,38,40
O001__002,O001,P3,16,38,40
O001__003,O001,P3,17,38,40
O001__004,O001,P3,18,38,40
O002__001,O002,P1,25,36,38
O002__002,O002,P1,26,36,38
O003__001,O003,P1,27,36,38
O003__002,O003,P1,28,36,38
O004__001,O004,P2,36,38,40
O004__002,O004,P2,37,38,40
O005__001,O005,P1,29,35,37
O005__002,O005,P1,30,35,37
O006__001,O006,P3,19,36,38
O006__002,O006,P3,20,36,38
O007__001,O007,P2,46,47,49
O007__002,O007,P2,47,47,49
O008__001,O008,P2,22,31,33
O008__002,O008,P2,23,31,33
O009__001,O009,P1,31,35,37
O009__002,O009,P1,32,35,37
O009__003,O009,P1,33,35,37
O009__004,O009,P1,34,35,37
O010__001,O010,P5,39,42,44
O010__002,O010,P5,40,42,44
O010__003,O010,P5,41,42,44
O010__004,O010,P5,42,42,44
