unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,14,25,27
O001__002,O001,P2,15,25,27
O001__003,O001,P2,16,25,27
O001__004,O001,P2,17,25,27
O002__001,O002,P1,45,45,47
O003__001,O003,P1,31,33,35
O003__002,O003,P1,32,33,35
O003__003,O003,P1,33,33,35
O004__001,O004,P3,39,43,45
O005__001,O005,P2,18,27,29
O005__002,O005,P2,19,27,29
O006__001,O006,P3,40,43,45
O006__002,O006,P3,41,43,45
O006__003,O006,P3,42,43,45
O006__004,O006,P3,43,43,45
O007__001,O007,P4,21,29,31
O008__001,O008,P1,23,29,31
O008__002,O008,P1,24,29,31
O009__001,O009,P5,26,29,31
O009__002,O009,P5,27,29,31
O009__003,O009,P5,28,29,31
O009__004,O009,P5,29,29,31
O010__001,O010,P1,35,35,37
