unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P4,15,24,26
O001__002,O001,P4,16,24,26
O001__003,O001,P4,17,24,26
O002__001,O002,P2,19,31,33
O003__001,O003,P1,24,29,31
O003__002,O003,P1,25,29,31
O004__001,O004,P1,32,41,43
O004__002,O004,P1,33,41,43
O005__001,O005,P4,39,41,43
O006__001,O006,P5,41,45,47
O006__002,O006,P5,42,45,47
O006__003,O006,P5,43,45,47
O006__004,O006,P5,44,45,47
O007__001,O007,P4,35,38,40
O007__002,O007,P4,36,38,40
O007__003,O007,P4,37,38,40
O007__004,O007,P4,38,38,40
O008__001,O008,P3,27,31,33
O008__002,O008,P3,28,31,33
O008__003,O008,P3,29,31,33
O008__004,O008,P3,30,31,33
O009__001,O009,P5,21,23,25
O009__002,O009,P5,22,23,25
O010__001,O010,P4,46,48,50
O010__002,O010,P4,47,48,50
O010__003,O010,P4,48,48,50
