unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,30,37,39
O001__002,O001,P3,31,37,39
O001__003,O001,P3,32,37,39
O002__001,O002,P5,38,46,48
O002__002,O002,P5,39,46,48
O002__003,O002,P5,40,46,48
O003__001,O003,P3,15,27,29
O003__002,O003,P3,16,27,29
O004__001,O004,P2,42,47,49
O004__002,O004,P2,47,47,49
O005__001,O005,P2,25,38,40
O005__002,O005,P2,26,38,40
O005__003,O005,P2,27,38,40
O005__004,O005,P2,28,38,40
O006__001,O006,P3,33,35,37
O007__001,O007,P2,43,46,48
O007__002,O007,P2,44,46,48
O007__003,O007,P2,45,46,48
O007__004,O007,P2,46,46,48
O008__001,O008,P1,35,36,38
O008__002,O008,P1,36,36,38
O009__001,O009,P1,18,27,29
O009__002,O009,P1,19,27,29
O009__003,O009,P1,20,27,29
O009__004,O009,P1,21,27,29
O010__001,O010,P5,23,23,25
