unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,16,23,25
O001__002,O001,P3,23,23,25
O001__003,O001,P3,18,25,25
O001__004,O001,P3,17,25,25
O002__001,O002,P2,14,23,25
O002__002,O002,P2,25,25,25
O003__001,O003,P3,43,43,43
O003__002,O003,P3,32,42,43
O003__003,O003,P3,39,41,43
O004__001,O004,P3,12,25,25
O004__002,O004,P3,21,24,25
O004__003,O004,P3,20,25,25
O004__004,O004,P3,19,25,25
O005__001,O005,P4,34,39,40
O006__001,O006,P2,36,38,40
O006__002,O006,P2,37,38,40
O006__003,O006,P2,27,39,40
O007__001,O007,P3,22,23,25
O008__001,O008,P3,31,43,44
O009__001,O009,P5,45,47,47
O010__001,O010,P1,29,47,48
O010__002,O010,P1,41,47,48
