unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,19,39,41
O002__001,O002,P4,34,35,37
O002__002,O002,P4,35,35,37
O003__001,O003,P5,21,31,33
O004__001,O004,P5,22,24,26
O005__001,O005,P5,37,40,42
O005__002,O005,P5,38,40,42
O005__003,O005,P5,39,40,42
O005__004,O005,P5,40,40,42
O006__001,O006,P4,44,45,47
O006__002,O006,P4,45,45,47
O007__001,O007,P3,24,31,33
O007__002,O007,P3,25,31,33
O007__003,O007,P3,26,31,33
O008__001,O008,P1,29,34,36
O008__002,O008,P1,30,34,36
O008__003,O008,P1,31,34,36
O008__004,O008,P1,32,34,36
O009__001,O009,P1,28,28,30
O010__001,O010,P3,47,47,49
