unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,19,43,45
O002__001,O002,P5,12,25,27
O002__002,O002,P5,13,25,27
O002__003,O002,P5,14,25,27
O003__001,O003,P1,24,36,38
O003__002,O003,P1,25,36,38
O003__003,O003,P1,26,36,38
O003__004,O003,P1,27,36,38
O004__001,O004,P5,29,45,47
O004__002,O004,P5,30,45,47
O004__003,O004,P5,31,45,47
O005__001,O005,P4,42,46,48
O005__002,O005,P4,43,46,48
O005__003,O005,P4,44,46,48
O005__004,O005,P4,45,46,48
O006__001,O006,P2,47,48,50
O006__002,O006,P2,48,48,50
O007__001,O007,P2,16,23,25
O007__002,O007,P2,17,23,25
O008__001,O008,P3,20,25,27
O008__002,O008,P3,21,25,27
O008__003,O008,P3,22,25,27
O009__001,O009,P4,33,40,42
O009__002,O009,P4,34,40,42
O009__003,O009,P4,35,40,42
O010__001,O010,P2,37,42,44
O010__002,O010,P2,38,42,44
O010__003,O010,P2,39,42,44
O010__004,O010,P2,40,42,44
