unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P3,24,28,28
O001__002,O001,P3,22,28,28
O002__001,O002,P3,37,37,37
O002__002,O002,P3,23,37,37
O002__003,O002,P3,36,37,37
O002__004,O002,P3,35,37,37
O003__001,O003,P2,33,34,34
O004__001,O004,P5,18,26,26
O005__001,O005,P5,27,28,28
O005__002,O005,P5,26,28,28
O006__001,O006,P2,20,26,28
O006__002,O006,P2,15,27,28
O007__001,O007,P1,29,31,31
O007__002,O007,P1,31,31,31
O007__003,O007,P1,30,31,31
O008__001,O008,P3,44,48,48
O009__001,O009,P2,16,30,30
O010__001,O010,P1,39,43,43
O010__002,O010,P1,40,41,43
O010__003,O010,P1,42,43,43
