unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P2,48,49,50
O001__002,O001,P2,43,49,50
O001__003,O001,P2,40,50,50
O001__004,O001,P2,41,48,50
O002__001,O002,P2,47,47,47
O002__002,O002,P2,39,47,47
O002__003,O002,P2,42,45,47
O003__001,O003,P3,45,46,47
O004__001,O004,P1,27,28,28
O004__002,O004,P1,25,28,28
O004__003,O004,P1,28,28,28
O004__004,O004,P1,26,28,28
O005__001,O005,P4,37,38,38
O006__001,O006,P4,32,33,33
O007__001,O007,P5,19,29,31
O007__002,O007,P5,23,30,31
O007__003,O007,P5,21,30,31
O007__004,O007,P5,20,31,31
O008__001,O008,P1,34,35,35
O008__002,O008,P1,35,35,35
O008__003,O008,P1,30,35,35
O008__004,O008,P1,16,35,35
O009__001,O009,P5,18,31,32
O010__001,O010,P5,22,32,33
