unit_id,order_id,product_type,completion_day,delivery_day,due_day
O001__001,O001,P1,43,45,47
O001__002,O001,P1,44,45,47
O001__003,O001,P1,45,45,47
O002__001,O002,P2,23,38,40
O002__002,O002,P2,24,38,40
O002__003,O002,P2,25,38,40
O003__001,O003,P3,13,27,29
O004__001,O004,P4,15,31,33
O004__002,O004,P4,16,31,33
O004__003,O004,P4,17,31,33
O005__001,O005,P3,34,38,40
O005__002,O005,P3,35,38,40
O005__003,O005,P3,36,38,40
O006__001,O006,P5,47,47,49
O007__001,O007,P2,26,29,31
O007__002,O007,P2,27,29,31
O007__003,O007,P2,28,29,31
O007__004,O007,P2,29,29,31
O008__001,O008,P4,38,40,42
O008__002,O008,P4,39,40,42
O008__003,O008,P4,40,40,42
O009__001,O009,P5,31,33,35
O009__002,O009,P5,32,33,35
O010__001,O010,P5,19,25,27
O010__002,O010,P5,20,25,27
O010__003,O010,P5,21,25,27
